Store Type,Item Name,Item Price
Fashion Store,Coat,170
Hardware Store,Video Card,231307
Fashion Store,Blouse,139
Fashion Store,Tank Top,85
Hardware Store,Storage,83603
Hardware Store,Storage,116349
Fashion Store,Onesie,30
Hardware Store,CPU,58116
Hardware Store,Mother Board,50414
Grocery Store,sausage,19
Hardware Store,Storage,35806
Hardware Store,Storage,3778
Grocery Store,beef,19
Grocery Store,pastry,63
Hardware Store,CPU,91452
Hardware Store,CPU,73871
Fashion Store,Blazer,36
Fashion Store,Umbrella,18
Fashion Store,Belt,69
Grocery Store,margarine,30
Grocery Store,frankfurter,9
Grocery Store,pork,56
Fashion Store,Jeans,146
Fashion Store,Sweater,75
Fashion Store,Slippers,16
Fashion Store,Kimono,140
Hardware Store,Mother Board,38524
Fashion Store,Blazer,112
Hardware Store,Video Card,58010
Fashion Store,Shorts,38
Fashion Store,Dress,21
Hardware Store,CPU,73768
Hardware Store,Mother Board,48089
Hardware Store,CPU,39977
Hardware Store,Video Card,174031
Fashion Store,Belt,81
Hardware Store,CPU,149926
Fashion Store,Sweater,57
Fashion Store,Blazer,144
Hardware Store,Video Card,70235
Grocery Store,bottled water,24
Grocery Store,pot plants,46
Grocery Store,beverages,18
Grocery Store,berries,46
Fashion Store,Loafers,147
Grocery Store,other vegetables,19
Fashion Store,Poncho,114
Grocery Store,rolls/buns,51
Hardware Store,Storage,59013
Grocery Store,root vegetables,39
Grocery Store,grapes,30
Hardware Store,Video Card,66354
Hardware Store,Mother Board,23158
Hardware Store,CPU,73768
Grocery Store,beef,54
Fashion Store,Backpack,69
Fashion Store,Trousers,104
Hardware Store,Mother Board,20708
Hardware Store,Mother Board,42889
Grocery Store,tropical fruit,48
Grocery Store,sausage,19
Grocery Store,sliced cheese,36
Fashion Store,Gloves,33
Hardware Store,Storage,54604
Hardware Store,Storage,60953
Grocery Store,frankfurter,30
Grocery Store,rolls/buns,6
Fashion Store,Slippers,116
Hardware Store,Storage,51093
Grocery Store,sausage,68
Hardware Store,Mother Board,21969
Fashion Store,Coat,123
Hardware Store,CPU,39977
Hardware Store,Mother Board,50414
Grocery Store,hamburger meat,52
Fashion Store,Onesie,86
Fashion Store,Kimono,44
Fashion Store,Blouse,130
Grocery Store,whole milk,859
Hardware Store,Storage,49909
Hardware Store,Mother Board,25231
Grocery Store,tropical fruit,44
Fashion Store,Gloves,50
Grocery Store,sausage,64
Hardware Store,CPU,86559
Grocery Store,domestic eggs,47
Hardware Store,Storage,61863
Grocery Store,sliced cheese,45
Grocery Store,salt,14
Grocery Store,chicken,24
Grocery Store,fruit/vegetable juice,4
Fashion Store,Slippers,4069
Hardware Store,Storage,10689
Grocery Store,rolls/buns,37
Hardware Store,Mother Board,48089
Grocery Store,other vegetables,59
Fashion Store,Boots,90
Grocery Store,pork,17
Hardware Store,Storage,83406
Grocery Store,canned beer,43
Grocery Store,frankfurter,16
Fashion Store,Pajamas,3728
Fashion Store,Skirt,182
Grocery Store,citrus fruit,56
Fashion Store,Blazer,158
Hardware Store,Storage,113168
Fashion Store,Slippers,191
Grocery Store,beef,15
Grocery Store,bottled water,58
Fashion Store,Tank Top,160
Hardware Store,Storage,28423
Hardware Store,Video Card,53503
Fashion Store,Sun Hat,29
Fashion Store,Trench Coat,71
Fashion Store,Shorts,23
Hardware Store,Storage,60240
Hardware Store,Storage,64783
Grocery Store,bottled water,1631
Hardware Store,Mother Board,25810
Hardware Store,Video Card,262806
Fashion Store,Handbag,4619
Hardware Store,Storage,45254
Grocery Store,canned beer,31
Grocery Store,pork,28
Grocery Store,beef,4
Fashion Store,Blazer,22
Grocery Store,beef,56
Hardware Store,Storage,106866
Hardware Store,CPU,51110
Hardware Store,Video Card,60529
Grocery Store,brown bread,51
Fashion Store,Poncho,28
Hardware Store,Video Card,55162
Grocery Store,popcorn,12
Grocery Store,sugar,51
Fashion Store,Vest,113
Fashion Store,Vest,66
Fashion Store,Sweater,76
Fashion Store,Swimsuit,154
Hardware Store,Video Card,70235
Fashion Store,Socks,176
Fashion Store,Hat,154
Hardware Store,Storage,9298
Fashion Store,Pajamas,191
Fashion Store,Blazer,98
Grocery Store,sausage,39
Fashion Store,Socks,35
Grocery Store,tropical fruit,60
Fashion Store,Scarf,138
Grocery Store,rolls/buns,22
Hardware Store,Storage,55679
Fashion Store,Slippers,111
Hardware Store,Storage,106866
Fashion Store,Loafers,67
Hardware Store,Mother Board,58202
Fashion Store,Raincoat,73
Hardware Store,Storage,7920
Fashion Store,Boots,27
Hardware Store,Storage,51778
Fashion Store,Raincoat,142
Hardware Store,Mother Board,21436
Fashion Store,Sun Hat,141
Hardware Store,Video Card,405899
Fashion Store,Vest,81
Fashion Store,Handbag,80
Fashion Store,Jeans,94
Hardware Store,CPU,48156
Fashion Store,Sunglasses,97
Fashion Store,Kimono,142
Fashion Store,Handbag,94
Grocery Store,butter,15
Fashion Store,Kimono,162
Fashion Store,Tank Top,111
Grocery Store,bottled water,53
Grocery Store,canned beer,14
Hardware Store,CPU,58116
Hardware Store,Video Card,278555
Hardware Store,Video Card,55162
Grocery Store,frozen vegetables,10
Grocery Store,pork,50
Hardware Store,Video Card,69614
Fashion Store,Dress,104
Hardware Store,Storage,7441
Hardware Store,Video Card,59604
Hardware Store,Storage,7441
Hardware Store,Video Card,248338
Fashion Store,Romper,85
Hardware Store,Video Card,69614
Fashion Store,Umbrella,177
Hardware Store,CPU,210159
Fashion Store,Leggings,23
Hardware Store,CPU,48156
Hardware Store,Storage,82191
Hardware Store,Video Card,248338
Fashion Store,Vest,104
Hardware Store,Video Card,250504
Hardware Store,Storage,82191
Hardware Store,Storage,6163
Fashion Store,Trench Coat,13
Grocery Store,chicken,31
Hardware Store,Mother Board,33252
Grocery Store,tropical fruit,50
Hardware Store,Video Card,74294
Hardware Store,Storage,113168
Hardware Store,Storage,113168
Fashion Store,Blouse,3731
Fashion Store,Socks,134
Hardware Store,Mother Board,22748
Grocery Store,whole milk,56
Fashion Store,Shorts,95
Hardware Store,CPU,57341
Grocery Store,frankfurter,10
Grocery Store,soda,12
Hardware Store,Storage,7441
Hardware Store,Mother Board,58202
Fashion Store,Hat,36
Fashion Store,Scarf,54
Grocery Store,sausage,4
Hardware Store,CPU,39977
Fashion Store,Coat,193
Hardware Store,Video Card,71572
Grocery Store,pip fruit,66
Grocery Store,pork,66
Fashion Store,Scarf,2379
Hardware Store,Storage,60989
Fashion Store,Poncho,131
Hardware Store,Storage,63365
Grocery Store,tropical fruit,8
Grocery Store,bottled water,43
Hardware Store,Mother Board,22547
Fashion Store,Sun Hat,143
Hardware Store,CPU,54519
Grocery Store,tropical fruit,6
Hardware Store,Storage,59404
Hardware Store,CPU,154035
Hardware Store,CPU,192513
Hardware Store,Storage,7254
Grocery Store,bottled beer,67
Hardware Store,Storage,31396
Hardware Store,Storage,61863
Hardware Store,Storage,2014
Grocery Store,canned beer,15
Grocery Store,chicken,57
Grocery Store,chicken,43
Grocery Store,berries,53
Grocery Store,meat,35
Hardware Store,Mother Board,45900
Hardware Store,Storage,22399
Fashion Store,Gloves,136
Hardware Store,Video Card,66354
Hardware Store,Storage,58526
Hardware Store,Video Card,60091
Fashion Store,Poncho,14
Grocery Store,citrus fruit,40
Grocery Store,frankfurter,68
Fashion Store,Wallet,129
Grocery Store,beef,68
Hardware Store,Storage,53763
Grocery Store,frankfurter,14
Fashion Store,Tunic,183
Hardware Store,Storage,5270
Hardware Store,CPU,147956
Grocery Store,shopping bags,39
Fashion Store,T-shirt,152
Grocery Store,other vegetables,31
Hardware Store,Video Card,59825
Fashion Store,Dress,102
Grocery Store,frankfurter,39
Hardware Store,Video Card,64419
Grocery Store,whole milk,8
Hardware Store,CPU,57341
Fashion Store,Tunic,196
Hardware Store,CPU,48156
Grocery Store,pastry,62
Fashion Store,Shorts,36
Grocery Store,frankfurter,44
Grocery Store,meat,22
Fashion Store,Socks,100
Hardware Store,Storage,8798
Fashion Store,Flannel Shirt,101
Hardware Store,Video Card,59825
Fashion Store,Loafers,55
Hardware Store,CPU,53547
Fashion Store,Vest,27
Grocery Store,sausage,1481
Grocery Store,coffee,36
Hardware Store,Mother Board,38055
Fashion Store,T-shirt,38
Fashion Store,Socks,150
Grocery Store,frankfurter,42
Fashion Store,Gloves,51
Hardware Store,Video Card,174031
Hardware Store,CPU,49996
Hardware Store,Storage,83406
Grocery Store,cookware,11
Hardware Store,Storage,65048
Fashion Store,Swimsuit,3393
Grocery Store,whipped/sour cream,58
Hardware Store,Video Card,66354
Hardware Store,Video Card,63329
Fashion Store,Handbag,174
Hardware Store,Storage,9719
Grocery Store,frankfurter,45
Hardware Store,Mother Board,31781
Fashion Store,Tank Top,114
Grocery Store,whipped/sour cream,40
Grocery Store,curd,53
Hardware Store,Storage,53763
Fashion Store,Bowtie,103
Grocery Store,coffee,53
Fashion Store,Bowtie,33
Fashion Store,Skirt,157
Hardware Store,Storage,51093
Fashion Store,Tank Top,153
Grocery Store,citrus fruit,21
Hardware Store,Storage,31396
Grocery Store,sausage,11
Fashion Store,Backpack,111
Hardware Store,CPU,178147
Fashion Store,Loafers,113
Grocery Store,frankfurter,53
Grocery Store,specialty bar,33
Fashion Store,Polo Shirt,118
Hardware Store,Storage,60404
Fashion Store,Scarf,130
Fashion Store,Bowtie,30
Hardware Store,Storage,5541
Grocery Store,chicken,66
Grocery Store,meat,47
Grocery Store,house keeping products,51
Grocery Store,bottled beer,36
Hardware Store,CPU,54519
Hardware Store,Video Card,134384
Hardware Store,Storage,5059
Grocery Store,tropical fruit,31
Fashion Store,Loafers,95
Hardware Store,CPU,147956
Hardware Store,CPU,39977
Fashion Store,Flannel Shirt,41
Grocery Store,sausage,44
Grocery Store,tropical fruit,43
Fashion Store,Pajamas,23
Fashion Store,Overalls,142
Fashion Store,Socks,96
Fashion Store,Coat,33
Grocery Store,rolls/buns,26
Fashion Store,Sandals,97
Grocery Store,berries,3
Fashion Store,Umbrella,73
Grocery Store,bottled water,65
Grocery Store,fish,18
Fashion Store,Blouse,200
Hardware Store,Video Card,70699
Grocery Store,other vegetables,36
Fashion Store,Tank Top,173
Fashion Store,Onesie,44
Grocery Store,salty snack,28
Grocery Store,hamburger meat,14
Hardware Store,Mother Board,23880
Hardware Store,Storage,5541
Fashion Store,Cardigan,130
Hardware Store,Mother Board,25810
Fashion Store,Sandals,20
Grocery Store,citrus fruit,31
Fashion Store,Slippers,27
Grocery Store,packaged fruit/vegetables,43
Hardware Store,Video Card,63329
Hardware Store,Video Card,60091
Fashion Store,T-shirt,30
Fashion Store,T-shirt,198
Fashion Store,Sunglasses,61
Grocery Store,frankfurter,37
Hardware Store,Mother Board,22748
Hardware Store,Storage,54604
Hardware Store,Storage,5059
Grocery Store,yogurt,32
Hardware Store,Storage,15781
Grocery Store,other vegetables,55
Hardware Store,Mother Board,21969
Grocery Store,root vegetables,15
Fashion Store,Belt,63
Grocery Store,yogurt,69
Fashion Store,Slippers,45
Fashion Store,Trousers,173
Grocery Store,whole milk,28
Grocery Store,root vegetables,23
Hardware Store,Video Card,59825
Hardware Store,CPU,153562
Grocery Store,citrus fruit,33
Fashion Store,Trousers,16
Hardware Store,CPU,56370
Fashion Store,Sweater,117
Hardware Store,Video Card,53503
Grocery Store,chicken,30
Fashion Store,Cardigan,160
Grocery Store,whole milk,44
Grocery Store,sugar,22
Grocery Store,tropical fruit,26
Hardware Store,Storage,60240
Grocery Store,whole milk,17
Hardware Store,Storage,10689
Fashion Store,Raincoat,30
Hardware Store,Mother Board,25810
Grocery Store,whipped/sour cream,55
Hardware Store,Video Card,53998
Hardware Store,CPU,214440
Grocery Store,curd,48
Hardware Store,Storage,50732
Hardware Store,CPU,56370
Hardware Store,Video Card,58010
Grocery Store,berries,61
Hardware Store,Mother Board,26240
Grocery Store,whole milk,35
Fashion Store,Umbrella,57
Fashion Store,Poncho,2383
Fashion Store,Loafers,137
Hardware Store,Storage,61762
Fashion Store,Camisole,58
Grocery Store,pastry,24
Fashion Store,Sandals,154
Grocery Store,soda,45
Fashion Store,Pants,72
Fashion Store,Leggings,65
Fashion Store,Kimono,3138
Fashion Store,Jeans,72
Fashion Store,Cardigan,134
Grocery Store,packaged fruit/vegetables,66
Grocery Store,frankfurter,70
Hardware Store,Mother Board,62622
Hardware Store,CPU,73768
Grocery Store,sausage,53
Hardware Store,Video Card,278555
Fashion Store,Slippers,59
Grocery Store,coffee,57
Fashion Store,Handbag,187
Fashion Store,Vest,129
Fashion Store,Jumpsuit,172
Grocery Store,citrus fruit,56
Fashion Store,T-shirt,17
Hardware Store,Storage,49909
Grocery Store,beef,18
Grocery Store,rolls/buns,50
Hardware Store,CPU,86903
Fashion Store,Leggings,181
Fashion Store,Sandals,98
Fashion Store,Jeans,162
Fashion Store,Handbag,165
Fashion Store,Shorts,112
Grocery Store,hamburger meat,57
Fashion Store,Tunic,64
Fashion Store,Hoodie,25
Grocery Store,sausage,26
Grocery Store,salt,60
Grocery Store,specialty chocolate,47
Hardware Store,CPU,50932
Grocery Store,pip fruit,10
Fashion Store,Boots,183
Hardware Store,Video Card,68835
Hardware Store,Video Card,58010
Fashion Store,Jeans,54
Hardware Store,Storage,83603
Fashion Store,Camisole,14
Hardware Store,Storage,7070
Fashion Store,Camisole,27
Hardware Store,CPU,119403
Fashion Store,Shorts,128
Hardware Store,Video Card,405899
Fashion Store,Jeans,2814
Hardware Store,CPU,46192
Grocery Store,meat,7
Grocery Store,pip fruit,61
Hardware Store,Storage,61863
Hardware Store,Storage,59541
Fashion Store,T-shirt,86
Fashion Store,Camisole,51
Grocery Store,hamburger meat,46
Fashion Store,Sun Hat,58
Hardware Store,Video Card,55507
Hardware Store,CPU,116689
Hardware Store,CPU,154035
Fashion Store,Camisole,138
Hardware Store,Video Card,79905
Grocery Store,sausage,59
Grocery Store,whole milk,32
Hardware Store,CPU,192513
Fashion Store,Shorts,144
Fashion Store,Shorts,14
Grocery Store,ice cream,45
Hardware Store,CPU,192513
Grocery Store,frankfurter,53
Grocery Store,beef,14
Fashion Store,Pajamas,20
Fashion Store,Tie,182
Fashion Store,Hoodie,97
Grocery Store,frankfurter,52
Hardware Store,CPU,39977
Grocery Store,sausage,5
Hardware Store,Storage,60155
Hardware Store,Video Card,66354
Grocery Store,pip fruit,65
Grocery Store,citrus fruit,67
Fashion Store,T-shirt,174
Hardware Store,Video Card,58041
Hardware Store,Storage,54604
Hardware Store,Video Card,134384
Hardware Store,CPU,51110
Grocery Store,domestic eggs,39
Fashion Store,Trousers,66
Fashion Store,Scarf,147
Grocery Store,other vegetables,8
Fashion Store,Hoodie,100
Hardware Store,CPU,192513
Hardware Store,CPU,172383
Hardware Store,Storage,91298
Grocery Store,root vegetables,64
Grocery Store,frankfurter,56
Fashion Store,Trench Coat,86
Grocery Store,frankfurter,5
Grocery Store,oil,51
Hardware Store,Storage,116349
Grocery Store,citrus fruit,46
Hardware Store,Storage,9176
Fashion Store,Polo Shirt,158
Fashion Store,Belt,28
Hardware Store,Storage,6176
Fashion Store,Umbrella,186
Grocery Store,ham,49
Grocery Store,frankfurter,61
Fashion Store,Flip-Flops,54
Grocery Store,frankfurter,44
Grocery Store,other vegetables,57
Grocery Store,coffee,42
Fashion Store,Loafers,15
Hardware Store,Storage,2014
Grocery Store,onions,11
Grocery Store,beef,928
Fashion Store,Onesie,152
Hardware Store,CPU,66824
Grocery Store,red/blush wine,23
Fashion Store,Poncho,141
Grocery Store,grapes,39
Fashion Store,Romper,126
Grocery Store,soda,38
Hardware Store,Video Card,123704
Grocery Store,processed cheese,4
Hardware Store,Video Card,63329
Fashion Store,Loafers,163
Hardware Store,Storage,712366
Grocery Store,sausage,54
Grocery Store,whole milk,32
Hardware Store,Mother Board,36072
Grocery Store,frankfurter,70
Fashion Store,Scarf,39
Fashion Store,Leggings,183
Hardware Store,Video Card,79905
Grocery Store,chocolate,1033
Fashion Store,Flannel Shirt,30
Fashion Store,Sandals,161
Hardware Store,Storage,82191
Fashion Store,Sweater,196
Fashion Store,Scarf,165
Hardware Store,CPU,86559
Grocery Store,other vegetables,10
Grocery Store,root vegetables,34
Fashion Store,Dress,161
Fashion Store,Tie,29
Hardware Store,Storage,31396
Hardware Store,Video Card,68835
Fashion Store,T-shirt,30
Hardware Store,Mother Board,31781
Grocery Store,beef,40
Hardware Store,Storage,60240
Grocery Store,beef,61
Hardware Store,Mother Board,38055
Grocery Store,yogurt,56
Grocery Store,whole milk,41
Hardware Store,Video Card,68835
Fashion Store,Umbrella,102
Hardware Store,Storage,7339
Fashion Store,Poncho,123
Fashion Store,Hoodie,2653
Hardware Store,CPU,54519
Fashion Store,Pajamas,148
Hardware Store,Video Card,405899
Grocery Store,sausage,46
Hardware Store,CPU,49996
Grocery Store,sausage,65
Hardware Store,Video Card,58010
Hardware Store,Storage,7070
Fashion Store,Slippers,193
Grocery Store,canned vegetables,15
Grocery Store,onions,37
Grocery Store,frankfurter,23
Fashion Store,Sweater,170
Fashion Store,Swimsuit,57
Fashion Store,Cardigan,90
Fashion Store,Boots,47
Hardware Store,Storage,61762
Grocery Store,pork,47
Grocery Store,UHT-milk,52
Fashion Store,Tank Top,42
Fashion Store,Poncho,87
Grocery Store,bottled water,12
Hardware Store,Video Card,66659
Fashion Store,Tie,124
Fashion Store,Trench Coat,104
Grocery Store,root vegetables,19
Fashion Store,Trousers,189
Grocery Store,packaged fruit/vegetables,1013
Grocery Store,tropical fruit,15
Grocery Store,photo/film,10
Grocery Store,pork,55
Grocery Store,frankfurter,40
Fashion Store,Camisole,77
Fashion Store,Tie,125
Hardware Store,Storage,59013
Fashion Store,Sneakers,140
Fashion Store,Skirt,58
Fashion Store,Onesie,99
Fashion Store,Polo Shirt,196
Grocery Store,whole milk,43
Fashion Store,Slippers,180
Grocery Store,whole milk,16
Hardware Store,Video Card,66659
Grocery Store,misc. beverages,68
Fashion Store,Gloves,189
Hardware Store,Storage,65048
Fashion Store,Pajamas,175
Hardware Store,Storage,82191
Grocery Store,canned beer,62
Grocery Store,citrus fruit,33
Grocery Store,pork,33
Grocery Store,soda,37
Grocery Store,hamburger meat,12
Grocery Store,whole milk,39
Fashion Store,Blazer,113
Hardware Store,CPU,214440
Hardware Store,Storage,57170
Fashion Store,Coat,123
Fashion Store,Poncho,107
Fashion Store,Camisole,135
Hardware Store,Video Card,70699
Fashion Store,Tunic,166
Hardware Store,Video Card,58010
Hardware Store,Video Card,74294
Grocery Store,frankfurter,25
Fashion Store,Sunglasses,126
Grocery Store,rolls/buns,7
Fashion Store,Pants,42
Hardware Store,CPU,42190
Hardware Store,CPU,136513
Hardware Store,Storage,58526
Hardware Store,Mother Board,20708
Hardware Store,Video Card,74294
Fashion Store,Flannel Shirt,67
Fashion Store,Overalls,150
Hardware Store,Video Card,69614
Grocery Store,rolls/buns,51
Hardware Store,CPU,46192
Grocery Store,root vegetables,17
Hardware Store,Mother Board,22392
Grocery Store,ice cream,59
Grocery Store,beef,29
Hardware Store,Storage,65048
Fashion Store,Slippers,39
Grocery Store,soda,53
Fashion Store,Backpack,93
Hardware Store,Storage,5840
Fashion Store,Coat,28
Hardware Store,Storage,57170
Grocery Store,yogurt,9
Fashion Store,Tank Top,185
Hardware Store,CPU,52895
Hardware Store,Storage,13559
Grocery Store,bottled beer,66
Grocery Store,whole milk,45
Fashion Store,Raincoat,180
Hardware Store,Storage,6110
Fashion Store,Bowtie,187
Grocery Store,curd,12
Hardware Store,CPU,49996
Fashion Store,Tie,199
Grocery Store,whole milk,45
Fashion Store,Jumpsuit,184
Fashion Store,Belt,130
Hardware Store,CPU,46192
Hardware Store,Storage,6448
Hardware Store,Video Card,70699
Fashion Store,Pajamas,70
Hardware Store,Video Card,58041
Grocery Store,frankfurter,67
Fashion Store,Hat,30
Grocery Store,specialty cheese,36
Hardware Store,Mother Board,50414
Hardware Store,CPU,71415
Fashion Store,Belt,72
Fashion Store,Romper,77
Hardware Store,Storage,7920
Hardware Store,Video Card,60091
Grocery Store,whole milk,50
Grocery Store,sausage,8
Fashion Store,Jumpsuit,136
Grocery Store,grapes,31
Fashion Store,Belt,126
Grocery Store,rolls/buns,17
Fashion Store,Handbag,12
Hardware Store,Video Card,70699
Grocery Store,canned beer,9
Hardware Store,Mother Board,33955
Grocery Store,other vegetables,42
Fashion Store,Wallet,39
Grocery Store,ice cream,32
Fashion Store,Tunic,146
Fashion Store,Skirt,161
Fashion Store,Backpack,92
Grocery Store,fruit/vegetable juice,1305
Hardware Store,Storage,55684
Hardware Store,Storage,133026
Grocery Store,Instant food products,49
Hardware Store,CPU,172383
Fashion Store,Vest,10
Grocery Store,bottled water,69
Hardware Store,Storage,91298
Hardware Store,Storage,7920
Fashion Store,Blouse,177
Grocery Store,rolls/buns,60
Fashion Store,Romper,194
Fashion Store,Boots,41
Fashion Store,Belt,32
Hardware Store,Video Card,278555
Grocery Store,sausage,9
Fashion Store,Boots,70
Grocery Store,whole milk,3
Grocery Store,other vegetables,899
Grocery Store,other vegetables,10
Fashion Store,T-shirt,198
Fashion Store,Hat,10
Grocery Store,frankfurter,70
Hardware Store,CPU,58116
Grocery Store,frankfurter,19
Grocery Store,turkey,47
Grocery Store,pork,18
Hardware Store,Video Card,59212
Hardware Store,Video Card,59825
Hardware Store,Storage,55679
Fashion Store,Cardigan,149
Hardware Store,CPU,56370
Fashion Store,Onesie,23
Hardware Store,CPU,50932
Grocery Store,pork,50
Hardware Store,Storage,70891
