Store Type,Item Name,Item Price
Fashion Store,Shorts,157
Hardware Store,Video Card,248338
Grocery Store,rolls/buns,56
Fashion Store,Flip-Flops,18
Hardware Store,Mother Board,48089
Hardware Store,Mother Board,24540
Hardware Store,Video Card,55162
Grocery Store,yogurt,32
Grocery Store,other vegetables,40
Grocery Store,coffee,34
Hardware Store,Mother Board,21783
Hardware Store,Mother Board,45900
Hardware Store,Video Card,58041
Hardware Store,CPU,122559
Fashion Store,Sun Hat,37
Hardware Store,Storage,7920
Hardware Store,Video Card,262806
Fashion Store,Tunic,107
Fashion Store,Sneakers,27
Grocery Store,pastry,67
Fashion Store,Hat,190
Fashion Store,Gloves,130
Grocery Store,rolls/buns,11
Fashion Store,Shorts,4872
Fashion Store,Swimsuit,24
Hardware Store,Video Card,79905
Hardware Store,Video Card,250504
Fashion Store,Swimsuit,166
Hardware Store,Storage,55679
Fashion Store,Shorts,159
Hardware Store,CPU,56780
Fashion Store,Sandals,70
Grocery Store,chicken,57
Fashion Store,Belt,171
Grocery Store,misc. beverages,42
Hardware Store,Storage,113168
Fashion Store,Leggings,3126
Hardware Store,Storage,4218
Hardware Store,Video Card,53503
Fashion Store,Dress,40
Grocery Store,white wine,42
Grocery Store,bottled water,29
Grocery Store,bottled water,36
Fashion Store,Coat,93
Fashion Store,Flannel Shirt,183
Hardware Store,Storage,11329
Hardware Store,Video Card,66354
Grocery Store,onions,44
Grocery Store,yogurt,60
Fashion Store,Sandals,49
Fashion Store,Flannel Shirt,28
Fashion Store,Bowtie,70
Hardware Store,Storage,61762
Fashion Store,Kimono,131
Fashion Store,Wallet,190
Grocery Store,rolls/buns,16
Fashion Store,Hat,67
Fashion Store,Skirt,179
Fashion Store,Pajamas,44
Grocery Store,ice cream,69
Fashion Store,Swimsuit,154
Fashion Store,Overalls,46
Hardware Store,Storage,61863
Grocery Store,tropical fruit,1726
Grocery Store,whole milk,45
Fashion Store,Onesie,103
Grocery Store,sausage,31
Grocery Store,berries,38
Grocery Store,rolls/buns,45
Hardware Store,CPU,116689
Grocery Store,butter,8
Grocery Store,chicken,33
Fashion Store,Pants,179
Hardware Store,Storage,56539
Grocery Store,chicken,745
Fashion Store,Sneakers,156
Fashion Store,Overalls,185
Fashion Store,Leggings,96
Hardware Store,Storage,11329
Fashion Store,Raincoat,125
Hardware Store,Storage,83603
Fashion Store,Wallet,126
Grocery Store,bottled water,9
Grocery Store,citrus fruit,37
Hardware Store,Video Card,57351
Fashion Store,Kimono,170
Grocery Store,bottled beer,29
Grocery Store,chicken,69
Fashion Store,Pajamas,47
Hardware Store,Storage,5541
Fashion Store,Cardigan,178
Hardware Store,Storage,83603
Fashion Store,Vest,125
Grocery Store,whole milk,37
Grocery Store,sausage,39
Hardware Store,Storage,11329
Hardware Store,CPU,56370
Fashion Store,Onesie,32
Grocery Store,shopping bags,38
Fashion Store,Scarf,42
Fashion Store,Trench Coat,86
Fashion Store,Trousers,144
Grocery Store,citrus fruit,11
Fashion Store,T-shirt,195
Hardware Store,Storage,712366
Hardware Store,CPU,71415
Fashion Store,Poncho,85
Hardware Store,Video Card,68835
Fashion Store,Sunglasses,79
Grocery Store,frankfurter,7
Grocery Store,UHT-milk,67
Hardware Store,Storage,22399
Fashion Store,Sweater,26
Hardware Store,CPU,170695
Fashion Store,Skirt,56
Fashion Store,Tank Top,37
Fashion Store,Leggings,56
Fashion Store,Blazer,151
Fashion Store,Wallet,77
Grocery Store,sausage,67
Hardware Store,Video Card,70699
Hardware Store,Mother Board,23995
Grocery Store,root vegetables,61
Grocery Store,frankfurter,39
Hardware Store,Storage,101951
Hardware Store,Video Card,123704
Fashion Store,Bowtie,88
Grocery Store,beef,59
Fashion Store,Vest,180
Fashion Store,Blazer,168
Fashion Store,Onesie,176
Hardware Store,Storage,51778
Fashion Store,Hat,26
Hardware Store,Storage,57170
Grocery Store,frankfurter,64
Fashion Store,Pajamas,58
Grocery Store,vinegar,33
Hardware Store,Storage,1263
Fashion Store,Tunic,2456
Hardware Store,Video Card,59604
Hardware Store,Video Card,68209
Hardware Store,Mother Board,33252
Hardware Store,Storage,9298
Grocery Store,chicken,62
Fashion Store,Flip-Flops,133
Hardware Store,Storage,53763
Fashion Store,Kimono,116
Grocery Store,frankfurter,34
Fashion Store,Wallet,181
Hardware Store,Storage,31396
Hardware Store,CPU,122559
Hardware Store,Storage,20962
Fashion Store,Hat,154
Hardware Store,Mother Board,38524
Grocery Store,whole milk,1669
Grocery Store,sausage,61
Hardware Store,Video Card,248338
Grocery Store,other vegetables,63
Fashion Store,Coat,115
Fashion Store,Vest,52
Hardware Store,Video Card,75318
Hardware Store,CPU,170695
Grocery Store,citrus fruit,57
Grocery Store,pork,17
Hardware Store,Video Card,69614
Grocery Store,cling film/bags,29
Grocery Store,chicken,59
Fashion Store,Shorts,28
Hardware Store,Mother Board,33955
Grocery Store,sausage,6
Hardware Store,CPU,51110
Grocery Store,frankfurter,32
Fashion Store,Pants,55
Hardware Store,Video Card,60091
Fashion Store,Wallet,60
Grocery Store,rolls/buns,51
Fashion Store,Sunglasses,54
Fashion Store,Backpack,76
Fashion Store,Kimono,188
Grocery Store,tropical fruit,13
Hardware Store,Storage,86752
Grocery Store,cat food,33
Grocery Store,pork,51
Grocery Store,onions,14
Hardware Store,Video Card,70235
Grocery Store,ham,17
Hardware Store,Video Card,64419
Hardware Store,Storage,3778
Fashion Store,Loafers,35
Grocery Store,packaged fruit/vegetables,29
Fashion Store,Poncho,182
Hardware Store,Video Card,262806
Fashion Store,Shorts,141
Fashion Store,Swimsuit,30
Fashion Store,Pants,98
Fashion Store,Belt,139
Grocery Store,rolls/buns,17
Hardware Store,Storage,7339
Fashion Store,Overalls,162
Fashion Store,Romper,83
Grocery Store,beef,50
Hardware Store,Storage,57170
Grocery Store,berries,53
Fashion Store,Onesie,75
Fashion Store,Flannel Shirt,51
Grocery Store,other vegetables,9
Grocery Store,berries,52
Grocery Store,chicken,48
Fashion Store,Tunic,143
Fashion Store,Flip-Flops,129
Fashion Store,Tank Top,63
Fashion Store,Jacket,139
Hardware Store,Mother Board,66429
Hardware Store,Video Card,68209
Fashion Store,Gloves,66
Hardware Store,Video Card,70235
Fashion Store,Sunglasses,154
Hardware Store,Mother Board,20708
Hardware Store,Video Card,71572
Grocery Store,canned beer,35
Hardware Store,Video Card,123704
Grocery Store,citrus fruit,18
Grocery Store,whole milk,32
Hardware Store,Video Card,174031
Grocery Store,berries,44
Grocery Store,rolls/buns,5
Grocery Store,coffee,69
Hardware Store,Video Card,278555
Hardware Store,Video Card,231307
Hardware Store,Mother Board,24062
Fashion Store,Overalls,115
Hardware Store,CPU,73871
Hardware Store,Video Card,59604
Hardware Store,CPU,179353
Fashion Store,Swimsuit,41
Fashion Store,Kimono,160
Fashion Store,Hoodie,85
Grocery Store,rolls/buns,7
Fashion Store,Flip-Flops,30
Fashion Store,Socks,17
Fashion Store,Tie,63
Hardware Store,Mother Board,24540
Hardware Store,Storage,59404
Hardware Store,Video Card,69614
Grocery Store,ice cream,17
Grocery Store,sausage,53
Fashion Store,Hoodie,197
Grocery Store,curd,28
Hardware Store,Video Card,278555
Fashion Store,Vest,122
Grocery Store,beef,66
Grocery Store,pasta,49
Grocery Store,baking powder,56
Hardware Store,CPU,179353
Grocery Store,tropical fruit,51
Hardware Store,Video Card,231307
Fashion Store,Tank Top,40
Grocery Store,whole milk,12
Hardware Store,Mother Board,26615
Hardware Store,Storage,45254
Fashion Store,Sandals,50
Fashion Store,Skirt,100
Fashion Store,Hoodie,128
Hardware Store,Video Card,59825
Fashion Store,Pants,195
Hardware Store,Mother Board,23158
Hardware Store,Mother Board,62622
Fashion Store,Boots,3139
Hardware Store,Storage,63365
Hardware Store,Video Card,55162
Hardware Store,Mother Board,62622
Hardware Store,CPU,151985
Fashion Store,Blouse,171
Grocery Store,whole milk,11
Grocery Store,domestic eggs,10
Hardware Store,Storage,5541
Hardware Store,CPU,119403
Grocery Store,frankfurter,42
Fashion Store,Loafers,4233
Fashion Store,Handbag,182
Hardware Store,Video Card,70235
Hardware Store,Video Card,278555
Fashion Store,Socks,129
Grocery Store,ice cream,64
Hardware Store,Storage,3440
Hardware Store,CPU,48156
Grocery Store,whole milk,8
Grocery Store,other vegetables,44
Hardware Store,Storage,6176
Fashion Store,Cardigan,42
Hardware Store,CPU,66824
Grocery Store,canned beer,64
Grocery Store,dessert,66
Hardware Store,CPU,53547
Fashion Store,Blouse,137
Hardware Store,Storage,58526
Hardware Store,Storage,47418
Grocery Store,citrus fruit,824
Grocery Store,soda,54
Grocery Store,butter,10
Fashion Store,Boots,152
Grocery Store,citrus fruit,13
Fashion Store,T-shirt,133
Hardware Store,Storage,4218
Grocery Store,tropical fruit,45
Hardware Store,Video Card,60529
Fashion Store,Pajamas,133
Fashion Store,Dress,175
Hardware Store,Storage,1263
Hardware Store,Mother Board,23158
Grocery Store,tropical fruit,1182
Fashion Store,Sunglasses,17
Grocery Store,specialty chocolate,8
Fashion Store,Hat,45
Hardware Store,Video Card,71572
Fashion Store,Backpack,59
Hardware Store,Storage,47178
Hardware Store,CPU,85582
Grocery Store,grapes,66
Hardware Store,Storage,8798
Grocery Store,tropical fruit,59
Grocery Store,root vegetables,10
Hardware Store,CPU,45314
Hardware Store,CPU,179353
Hardware Store,Storage,45254
Fashion Store,Blouse,135
Fashion Store,Polo Shirt,200
Grocery Store,soda,25
Hardware Store,Storage,54664
Hardware Store,CPU,172383
Hardware Store,Video Card,53503
Fashion Store,Shorts,41
Grocery Store,soda,64
Hardware Store,CPU,172383
Fashion Store,Skirt,139
Grocery Store,sausage,61
Hardware Store,Video Card,59446
Fashion Store,Loafers,122
Grocery Store,bottled water,44
Fashion Store,Sunglasses,154
Grocery Store,sparkling wine,45
Fashion Store,Hoodie,174
Fashion Store,Pants,185
Grocery Store,citrus fruit,7
Grocery Store,root vegetables,32
Hardware Store,Video Card,79905
Hardware Store,Storage,64783
Grocery Store,tropical fruit,16
Fashion Store,Wallet,137
Fashion Store,Loafers,165
Fashion Store,Pajamas,105
Grocery Store,rolls/buns,48
Grocery Store,soda,40
Fashion Store,Vest,184
Grocery Store,beef,6
Hardware Store,Storage,2994
Grocery Store,misc. beverages,13
Hardware Store,Storage,8587
Fashion Store,T-shirt,49
Fashion Store,Trench Coat,90
Fashion Store,Trench Coat,2130
Hardware Store,CPU,119403
Fashion Store,Bowtie,153
Fashion Store,Gloves,135
Fashion Store,Raincoat,87
Grocery Store,tropical fruit,14
Fashion Store,Blazer,18
Fashion Store,Dress,44
Grocery Store,sausage,50
Hardware Store,Storage,2994
Grocery Store,margarine,53
Grocery Store,canned beer,49
Grocery Store,pip fruit,45
Fashion Store,Pajamas,150
Hardware Store,Storage,55684
Hardware Store,Video Card,52103
Hardware Store,CPU,48156
Hardware Store,Storage,5059
Grocery Store,root vegetables,29
Fashion Store,Camisole,57
Hardware Store,Storage,35806
Fashion Store,Hoodie,141
Fashion Store,Polo Shirt,140
Grocery Store,whole milk,50
Fashion Store,Tank Top,82
Grocery Store,pork,43
Hardware Store,Storage,70891
Hardware Store,Storage,49909
Hardware Store,Mother Board,21269
Grocery Store,pork,54
Hardware Store,Video Card,63329
Hardware Store,Storage,6176
Fashion Store,Sneakers,125
Grocery Store,packaged fruit/vegetables,24
Hardware Store,CPU,136513
Hardware Store,Storage,47418
Grocery Store,fruit/vegetable juice,35
Grocery Store,canned beer,62
Fashion Store,Tie,128
Hardware Store,Storage,51093
Hardware Store,Video Card,66659
Fashion Store,Jeans,173
Grocery Store,canned beer,44
Hardware Store,CPU,42190
Hardware Store,Video Card,248338
Grocery Store,yogurt,18
Grocery Store,canned beer,53
Fashion Store,Hoodie,181
Fashion Store,Socks,22
Fashion Store,Overalls,132
Hardware Store,Video Card,248338
Hardware Store,Mother Board,21969
Hardware Store,Video Card,63329
Grocery Store,root vegetables,59
Hardware Store,Storage,22399
Grocery Store,tropical fruit,65
Fashion Store,Loafers,175
Fashion Store,Blouse,72
Fashion Store,Sweater,106
Hardware Store,Storage,60322
Fashion Store,Shorts,78
Grocery Store,rolls/buns,46
Grocery Store,frankfurter,30
Fashion Store,Bowtie,124
Hardware Store,Mother Board,23158
Grocery Store,herbs,11
Fashion Store,Raincoat,199
Grocery Store,meat,39
Fashion Store,Overalls,197
Hardware Store,Storage,4793
Hardware Store,Storage,113987
Grocery Store,beef,51
Hardware Store,Storage,86752
Hardware Store,Storage,49909
Grocery Store,ham,66
Fashion Store,Socks,113
Hardware Store,Mother Board,33238
Grocery Store,root vegetables,5
Hardware Store,Mother Board,36479
Fashion Store,Onesie,77
Hardware Store,Storage,55679
Fashion Store,Camisole,147
Hardware Store,CPU,149926
Grocery Store,ham,51
Fashion Store,Tank Top,97
Fashion Store,Poncho,80
Hardware Store,Storage,58526
Fashion Store,Flannel Shirt,64
Hardware Store,Video Card,60091
Fashion Store,Socks,147
Hardware Store,Storage,91298
Hardware Store,CPU,178147
Hardware Store,Storage,57170
Fashion Store,T-shirt,162
Grocery Store,chicken,4
Grocery Store,rolls/buns,26
Hardware Store,Storage,60322
Hardware Store,Storage,53227
Hardware Store,Storage,105197
Hardware Store,Storage,64783
Hardware Store,CPU,149926
Grocery Store,frankfurter,64
Grocery Store,whole milk,48
Hardware Store,Mother Board,33955
Grocery Store,whole milk,34
Hardware Store,CPU,50932
Fashion Store,Vest,68
Hardware Store,Storage,28423
Fashion Store,Romper,190
Hardware Store,Storage,61653
Fashion Store,Pants,45
Grocery Store,other vegetables,47
Fashion Store,T-shirt,93
Fashion Store,Jeans,86
Grocery Store,root vegetables,44
Hardware Store,Video Card,64419
Hardware Store,Video Card,70235
Grocery Store,dessert,65
Fashion Store,Flip-Flops,183
Hardware Store,Storage,19252
Fashion Store,Sun Hat,33
Fashion Store,T-shirt,24
Grocery Store,citrus fruit,48
Hardware Store,Video Card,55162
Hardware Store,Video Card,160221
Hardware Store,Storage,6110
Hardware Store,Video Card,134384
Hardware Store,CPU,53547
Hardware Store,Storage,6163
Grocery Store,domestic eggs,44
Hardware Store,Video Card,53998
Grocery Store,tropical fruit,13
Hardware Store,Video Card,71572
Grocery Store,whole milk,51
Hardware Store,CPU,122559
Grocery Store,citrus fruit,15
Hardware Store,CPU,119403
Hardware Store,Video Card,59212
Grocery Store,citrus fruit,58
Fashion Store,Scarf,96
Grocery Store,ice cream,68
Grocery Store,soda,3
Grocery Store,other vegetables,45
Fashion Store,Handbag,106
Fashion Store,Sweater,113
Hardware Store,Video Card,212867
Grocery Store,frozen chicken,4
Hardware Store,Storage,6176
Grocery Store,coffee,9
Fashion Store,Umbrella,197
Hardware Store,Video Card,231307
Grocery Store,other vegetables,22
Fashion Store,Wallet,60
Fashion Store,Jacket,31
Hardware Store,Storage,64783
Fashion Store,Sandals,77
Hardware Store,Storage,113987
Fashion Store,Swimsuit,111
Grocery Store,frankfurter,43
Fashion Store,Belt,16
Grocery Store,rolls/buns,10
Hardware Store,Storage,86752
Fashion Store,Sneakers,175
Fashion Store,Flannel Shirt,174
Grocery Store,whole milk,23
Hardware Store,Storage,56573
Fashion Store,Backpack,130
Grocery Store,other vegetables,70
Hardware Store,Video Card,250504
Fashion Store,Socks,123
Fashion Store,Handbag,46
Fashion Store,Raincoat,57
Grocery Store,coffee,3
Fashion Store,Shorts,99
Grocery Store,soda,8
Hardware Store,Video Card,64419
Fashion Store,Coat,163
Grocery Store,soda,49
Hardware Store,Video Card,248338
Hardware Store,Video Card,160221
Grocery Store,liquor,26
Hardware Store,CPU,86903
Fashion Store,Poncho,195
Grocery Store,bottled water,67
Fashion Store,Umbrella,153
Hardware Store,Storage,5403
Fashion Store,Hat,187
Hardware Store,Video Card,64419
Hardware Store,Storage,60240
Grocery Store,tropical fruit,15
Hardware Store,Video Card,123704
Fashion Store,Belt,28
Grocery Store,curd,12
Fashion Store,Trousers,48
Grocery Store,finished products,49
Grocery Store,pip fruit,52
Hardware Store,Storage,20962
Hardware Store,Storage,22399
Fashion Store,Cardigan,175
Hardware Store,Storage,47178
Hardware Store,Storage,86752
Hardware Store,Storage,5840
Hardware Store,CPU,210159
Hardware Store,Storage,7070
Fashion Store,Trench Coat,13
Grocery Store,hamburger meat,39
Hardware Store,Video Card,79905
Fashion Store,Tank Top,122
Grocery Store,sausage,8
Hardware Store,CPU,170695
Hardware Store,Video Card,69614
Hardware Store,CPU,153562
Hardware Store,CPU,49996
Hardware Store,Mother Board,26615
Grocery Store,finished products,8
Hardware Store,Video Card,248338
Grocery Store,UHT-milk,47
Hardware Store,Video Card,74294
Grocery Store,grapes,66
Hardware Store,CPU,49996
Grocery Store,rolls/buns,1019
Hardware Store,Mother Board,20708
Hardware Store,Video Card,248338
Hardware Store,Storage,101951
Fashion Store,Slippers,178
Hardware Store,CPU,151985
Fashion Store,Poncho,46
Fashion Store,Blouse,126
Grocery Store,soda,66
Grocery Store,citrus fruit,34
Hardware Store,Storage,3778
Grocery Store,meat,44
Grocery Store,bottled water,13
Fashion Store,Pajamas,159
Hardware Store,Mother Board,24540
Grocery Store,frankfurter,58
Hardware Store,Video Card,74294
Hardware Store,Video Card,60529
Fashion Store,Tank Top,41
Hardware Store,CPU,153562
Fashion Store,Flip-Flops,200
Grocery Store,sausage,39
Fashion Store,T-shirt,96
Grocery Store,onions,64
Grocery Store,citrus fruit,52
Hardware Store,Storage,50732
Fashion Store,Tunic,126
Hardware Store,Storage,56539
Grocery Store,frankfurter,48
Fashion Store,Cardigan,133
Fashion Store,Wallet,93
Fashion Store,Poncho,145
Fashion Store,Raincoat,188
Hardware Store,Mother Board,24062
Fashion Store,Pajamas,2418
Grocery Store,sausage,15
Fashion Store,Coat,96
Grocery Store,sausage,10
Fashion Store,Raincoat,177
Fashion Store,Jumpsuit,149
Hardware Store,CPU,85582
Hardware Store,Video Card,58041
Hardware Store,Storage,59013
Grocery Store,frankfurter,3
Fashion Store,Tunic,148
Hardware Store,Storage,56539
Fashion Store,Tank Top,127
Hardware Store,Video Card,79905
Fashion Store,Sun Hat,56
Grocery Store,brown bread,54
Fashion Store,Skirt,183
Fashion Store,Trench Coat,102
Hardware Store,Video Card,75318
Fashion Store,Belt,71
Grocery Store,beef,59
Hardware Store,CPU,153562
Hardware Store,CPU,192513
Grocery Store,ice cream,64
Fashion Store,Sunglasses,123
Fashion Store,Skirt,107
Grocery Store,beef,6
Grocery Store,whole milk,15
Grocery Store,popcorn,11
Hardware Store,CPU,86559
Grocery Store,frankfurter,22
Grocery Store,tropical fruit,26
Hardware Store,Storage,2014
Grocery Store,ham,45
Hardware Store,Mother Board,23995
Fashion Store,Kimono,31
Fashion Store,Blouse,194
Hardware Store,Video Card,63329
Fashion Store,Sunglasses,187
Fashion Store,Blazer,111
Fashion Store,Jumpsuit,193
Fashion Store,T-shirt,188
Hardware Store,Video Card,66659
Hardware Store,Video Card,59446
Grocery Store,beef,66
Hardware Store,Storage,54664
Hardware Store,Video Card,58041
Hardware Store,Video Card,262806
Hardware Store,Mother Board,22392
Hardware Store,Video Card,68835
Fashion Store,Romper,36
Grocery Store,chicken,8
Grocery Store,detergent,60
Fashion Store,Umbrella,108
Fashion Store,Gloves,35
Hardware Store,Storage,2014
Grocery Store,frankfurter,10
Grocery Store,frankfurter,31
Hardware Store,CPU,178147
Fashion Store,Scarf,107
Grocery Store,frankfurter,22
Hardware Store,Video Card,59212
Fashion Store,Tunic,99
Grocery Store,frankfurter,51
Hardware Store,CPU,210159
Grocery Store,female sanitary products,67
Grocery Store,root vegetables,40
Grocery Store,whole milk,30
Fashion Store,Onesie,2914
Fashion Store,Belt,85
Fashion Store,Bowtie,43
Grocery Store,pork,28
Fashion Store,Wallet,64
Hardware Store,Mother Board,26240
Hardware Store,CPU,136513
Hardware Store,Video Card,68209
Hardware Store,Storage,133026
Hardware Store,Storage,7070
Fashion Store,Wallet,91
Fashion Store,Sun Hat,83
Fashion Store,Blouse,137
Fashion Store,Hoodie,87
Grocery Store,frankfurter,48
Hardware Store,Storage,61653
Fashion Store,Umbrella,129
Hardware Store,Video Card,79905
Hardware Store,Storage,56698
Hardware Store,Storage,59541
Fashion Store,Blouse,190
Grocery Store,ice cream,49
Grocery Store,tropical fruit,6
Grocery Store,turkey,64
Fashion Store,Hat,152
Grocery Store,citrus fruit,9
Fashion Store,Wallet,151
Fashion Store,Gloves,92
Hardware Store,Mother Board,22547
Hardware Store,CPU,86903
Fashion Store,Gloves,17
Grocery Store,bottled water,28
Hardware Store,CPU,91452
Hardware Store,Mother Board,28933
Grocery Store,ice cream,19
Fashion Store,Socks,24
Fashion Store,Onesie,192
Grocery Store,root vegetables,19
Grocery Store,citrus fruit,48
Hardware Store,Storage,9176
Hardware Store,Video Card,66354
Fashion Store,Handbag,158
Grocery Store,yogurt,52
Hardware Store,Mother Board,25586
Hardware Store,Video Card,58041
Fashion Store,Trench Coat,170
Fashion Store,Coat,166
Grocery Store,curd,20
Fashion Store,Onesie,132
Grocery Store,sausage,12
Hardware Store,Storage,5270
Fashion Store,Blazer,151
Grocery Store,canned beer,30
Hardware Store,Storage,10689
Grocery Store,other vegetables,60
Fashion Store,Sneakers,15
Fashion Store,Wallet,92
Fashion Store,Hat,167
Grocery Store,beef,51
Grocery Store,hamburger meat,18
Hardware Store,CPU,73871
Grocery Store,sparkling wine,4
Fashion Store,Flip-Flops,4932
Fashion Store,Hat,169
Fashion Store,Handbag,2122
Hardware Store,Video Card,69614
